player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Robert Woodard II,woodaro01,SAC,Stretch Big,42,SF,22,,-0.41,-0.39,-0.02,0.1,-0.45,-0.35,-0.1,0.13,0.1,0.04
Nik Stauskas,stausni01,MIA/BOS,Stationary Shooter,39,SG,28,,-0.42,-0.09,-0.33,0,-0.6,-0.22,-0.38,0,0,0
Buddy Hield,hieldbu01,SAC/IND,Movement Shooter,"2,499",SG,29,,-0.42,1.28,-1.7,3.2,-1.13,0.33,-1.46,0.59,1.54,-0.95
Charles Bassey,bassech01,PHI,Roll + Cut Big,168,PF,21,,-0.42,-1.13,0.72,0.2,-0.69,-1.19,0.5,0.46,0.14,0.33
Hassani Gravett,graveha01,ORL,Secondary Ball Handler,171,PG,25,,-0.42,-0.87,0.45,0.2,-0.7,-1.01,0.3,0,0,0
Cat Barber,barbeca01,ATL,Slasher,13,PG,27,,-0.43,-0.28,-0.15,0,-0.43,-0.24,-0.18,0,0,0
Petr Cornelie,cornepe01,DEN,Stretch Big,38,PF,26,,-0.43,-0.13,-0.3,0,-0.44,-0.16,-0.28,0.03,0.22,-0.19
Aleksej Pokusevski,pokusal01,OKC,Stationary Shooter,"1,233",PF,20,,-0.43,-1.47,1.04,1.6,-1.53,-1.8,0.27,-0.88,-1.68,0.8
Day'Ron Sharpe,sharpda01,BRK,Roll + Cut Big,391,PF,20,,-0.43,0.27,-0.7,0.5,-0.58,-0.02,-0.56,-0.02,-0.33,0.32
Damyean Dotson,dotsoda01,NYK,Off Screen Shooter,21,SG,27,,-0.44,-0.19,-0.25,0,-0.53,-0.33,-0.19,0,0,0
Jarron Cumberland,cumbeja01,POR,Low Minute,12,SG,24,,-0.44,-0.3,-0.15,0,-0.56,-0.38,-0.18,0,0,0
Naji Marshall,marshna01,NOP,Stationary Shooter,735,SF,24,,-0.44,-0.43,-0.01,0.9,-0.63,-0.48,-0.15,-0.66,-0.99,0.33
Mac McClung,mccluma01,CHI/LAL,Slasher,24,SG-PG,23,,-0.44,-0.13,-0.32,0,-0.33,-0.17,-0.17,0,0,0
Josh Richardson,richajo01,BOS/SAS,Stationary Shooter,"1,600",SG,28,,-0.45,-0.17,-0.28,2,-1.06,-0.74,-0.33,1.09,0.58,0.51
Langston Galloway,gallola01,BRK/MIL,Secondary Ball Handler,107,SG,30,,-0.46,-0.41,-0.05,0.1,-0.79,-0.45,-0.34,0,0,0
Malik Newman,newmama01,CLE,Slasher,8,PG,25,,-0.46,-0.25,-0.21,0,-0.51,-0.28,-0.24,0,0,0
Tre Scott,scotttr01,CLE,Post Scorer,11,SF,25,,-0.46,-0.29,-0.17,0,-0.55,-0.32,-0.23,0,0,0
Miles McBride,mcbrimi01,NYK,Secondary Ball Handler,372,PG,21,,-0.46,-0.52,0.07,0.5,-1.3,-1.17,-0.13,0.09,0.16,-0.07
Eugene Omoruyi,omorueu01,DAL,Stretch Big,18,SF,25,,-0.46,-0.22,-0.24,0,-0.54,-0.23,-0.31,0.11,0.01,0.11
Derrick Rose,rosede01,NYK,Secondary Ball Handler,636,PG,33,,-0.47,-0.11,-0.37,0.8,-0.59,0.19,-0.78,1.4,0.78,0.62
James Ennis III,ennisja01,BRK/LAC/DEN,Stretch Big,56,SF,31,,-0.47,-0.2,-0.27,0.1,-0.53,-0.2,-0.33,0,0,0
Pat Connaughton,connapa01,MIL,Stationary Shooter,"1,691",SG,29,,-0.48,-0.6,0.13,2.1,-0.01,0.04,-0.05,0.88,-0.11,0.99
Tyler Herro,herroty01,MIA,Primary Ball Handler,"2,151",SG,22,,-0.48,0.82,-1.31,2.6,0.11,0.98,-0.87,-1.52,-0.06,-1.46
