player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Luke Kennard,kennalu01,LAC,Movement Shooter,"1,919",SG,25,,-0.2,0.08,-0.28,2.7,-1.04,-0.19,-0.84,1.47,0.17,1.3
Naz Reid,reidna01,MIN,Stretch Big,"1,215",C,22,,-0.2,-1.01,0.81,1.7,0.12,-0.33,0.45,-1.22,-1.42,0.21
Jordan Goodwin,goodwjo01,WAS,Secondary Ball Handler,6,SG,23,,-0.2,-0.16,-0.04,0,-0.11,-0.11,-0.01,0,0,0
Rudy Gay,gayru01,UTA,Stretch Big,"1,038",PF,35,,-0.21,-0.24,0.03,1.5,-0.08,0.16,-0.24,-0.31,-0.13,-0.19
Malik Monk,monkma01,LAL,Movement Shooter,"2,139",SG,24,,-0.21,1.12,-1.33,3,-1.33,-0.14,-1.19,-0.06,0.48,-0.54
Derrick Walton,waltode01,DET,Secondary Ball Handler,108,PG,27,,-0.21,-0.76,0.55,0.2,-0.45,-0.74,0.29,0,0,0
Craig Sword,swordcr01,WAS,Stationary Shooter,19,SG,28,,-0.21,-0.28,0.07,0,-0.21,-0.22,0.02,0,0,0
Nate Hinton,hintona01,IND,Low Minute,2,SG,22,,-0.21,0.02,-0.23,0,-0.31,-0.03,-0.29,0,0,0
Braxton Key,keybr01,PHI/DET,Stretch Big,197,SF,25,,-0.21,-0.79,0.58,0.3,-0.54,-1.24,0.7,0,0,0
Thaddeus Young,youngth01,SAS/TOR,Roll + Cut Big,845,PF,33,,-0.22,-1.02,0.8,1.2,-0.19,-0.57,0.38,0.25,-0.17,0.42
Trey Lyles,lylestr01,DET/SAC,Stretch Big,"1,536",PF,26,,-0.22,0.03,-0.25,2.1,-0.26,-0.06,-0.2,-0.21,0.18,-0.38
Cassius Winston,winstca01,WAS,Secondary Ball Handler,39,PG,24,,-0.22,-0.21,-0.01,0.1,-0.26,-0.22,-0.04,-0.05,0.01,-0.07
Blake Griffin,griffbl01,BRK,Stretch Big,958,PF,33,,-0.23,-0.51,0.27,1.3,0.05,0.2,-0.15,0.55,-0.33,0.87
Tim Hardaway Jr.,hardati02,DAL,Stationary Shooter,"1,245",SG,30,,-0.25,0.04,-0.28,1.7,0.24,0.75,-0.5,-0.91,0.23,-1.14
Ade Murkey,murkead01,SAC,Low Minute,1,SG,24,,-0.26,-0.2,-0.06,0,-0.26,-0.18,-0.08,0,0,0
Duncan Robinson,robindu01,MIA,Movement Shooter,"2,043",SG,27,,-0.27,0,-0.27,2.8,0.37,0.41,-0.05,0.98,0.41,0.58
Armoni Brooks,brookar01,HOU/TOR,Movement Shooter,844,SG-PG,23,,-0.28,0.61,-0.89,1.1,-1.09,-0.29,-0.8,1.57,2.07,-0.5
Ahmad Caver,caverah01,IND,Low Minute,1,PG,25,,-0.28,0,-0.29,0,-0.3,-0.01,-0.29,0,0,0
Bones Hyland,hylanbo01,DEN,Secondary Ball Handler,"1,310",PG,21,,-0.28,0.97,-1.25,1.8,0.61,1.05,-0.44,-0.21,-0.15,-0.07
Christian Wood,woodch01,HOU,Stretch Big,"2,094",C,26,,-0.29,-0.66,0.37,2.8,1.05,0.76,0.3,-1.22,-0.7,-0.52
Gabe York,yorkga01,IND,Slasher,21,SG,28,,-0.29,0.04,-0.33,0,-0.31,-0.04,-0.26,0,0,0
Jordan Bell,belljo01,CHI,Low Minute,2,C,27,,-0.29,-0.08,-0.21,0,-0.3,-0.12,-0.18,0,0,0
Cody Martin,martico01,CHO,Stationary Shooter,"1,866",SF,26,,-0.29,-0.21,-0.08,2.5,-1.17,-1.09,-0.09,0.95,1.82,-0.87
Tre Jones,jonestr01,SAS,Primary Ball Handler,"1,148",PG,22,,-0.29,-0.1,-0.19,1.6,-0.55,-0.25,-0.29,1.95,0.59,1.36
Jemerrio Jones,jonesje01,LAL,Roll + Cut Big,15,SF,27,,-0.3,-0.11,-0.19,0,-0.32,-0.12,-0.2,0,0,0
Yuta Watanabe,watanyu01,TOR,Stationary Shooter,445,SF,27,,-0.31,-0.81,0.51,0.6,-0.99,-1.32,0.33,0.63,-0.3,0.93
Scottie Barnes,barnesc01,TOR,Roll + Cut Big,"2,617",PF,20,,-0.31,-0.84,0.53,3.5,0.29,-0.17,0.46,0.09,-0.28,0.37
DeJon Jarreau,jarrede01,IND,Low Minute,1,SG,24,,-0.31,-0.01,-0.3,0,-0.3,-0.02,-0.29,-0.03,0.01,-0.05
Cameron McGriff,mcgrica01,POR,Stretch Big,46,SF,24,,-0.32,-0.09,-0.23,0.1,-0.64,-0.45,-0.19,0,0,0
Isaiah Todd,toddis01,WAS,Movement Shooter,74,PF,20,,-0.33,-0.47,0.14,0.1,-0.34,-0.34,0,-0.1,-0.12,0.02
Emmanuel Mudiay,mudiaem01,SAC,Secondary Ball Handler,11,PG,26,,-0.34,-0.26,-0.08,0,-0.28,-0.21,-0.07,0,0,0
Caris LeVert,leverca01,IND/CLE,Slasher,"1,780",SG,27,,-0.34,1.5,-1.84,2.3,-0.31,0.62,-0.93,1.61,1.97,-0.35
Goga Bitadze,bitadgo01,IND,Stretch Big,729,C,22,,-0.34,0.28,-0.62,1,0.13,0.02,0.11,-0.44,-0.07,-0.37
Nic Claxton,claxtni01,BRK,Roll + Cut Big,974,C,22,,-0.34,-0.93,0.59,1.3,-0.02,-0.84,0.82,-1.17,-0.57,-0.6
Saben Lee,leesa01,DET,Secondary Ball Handler,604,PG,22,,-0.34,0.11,-0.45,0.8,-0.19,-0.58,0.39,1.56,0.77,0.78
Rob Edwards,edwarro01,OKC,Movement Shooter,11,SG,25,,-0.34,-0.37,0.03,0,-0.24,-0.32,0.08,0,0,0
Tacko Fall,fallta01,CLE,Post Scorer,59,C,26,,-0.35,-0.56,0.21,0.1,-0.59,-0.64,0.06,-0.04,-0.17,0.13
Mason Jones,jonesma05,LAL,Stretch Big,51,SG,23,,-0.35,-0.21,-0.13,0.1,-0.33,-0.19,-0.14,0,0,0
Austin Reaves,reaveau01,LAL,Stationary Shooter,"1,418",SG,23,,-0.35,-0.29,-0.05,1.9,-1.67,-1.06,-0.61,0.51,-0.4,0.91
Reggie Jackson,jacksre01,LAC,Primary Ball Handler,"2,337",SG,31,,-0.36,-0.33,-0.03,3.1,-0.77,0.09,-0.87,1.35,0.62,0.73
Scotty Hopson,hopsosc01,OKC,Movement Shooter,18,SG,32,,-0.36,-0.45,0.09,0,-0.33,-0.42,0.09,0,0,0
Julius Randle,randlju01,NYK,Stretch Big,"2,544",PF,27,,-0.36,-0.33,-0.03,3.3,0.64,0.29,0.36,-0.76,-0.64,-0.12
Bruno Fernando,fernabr01,BOS/HOU,Roll + Cut Big,153,C,23,,-0.36,-0.39,0.03,0.2,-0.3,-0.34,0.04,-0.2,-0.09,-0.11
B.J. Johnson,johnsbj01,ORL,Athletic Finisher,65,SF,26,,-0.36,-0.5,0.13,0.1,-0.3,-0.4,0.11,0,0,0
Marko Simonovic,simonma01,CHI,Stretch Big,35,C,22,,-0.36,-0.22,-0.13,0,-0.42,-0.21,-0.21,0.24,-0.02,0.26
Jordan McLaughlin,mclaujo01,MIN,Stationary Shooter,902,PG,26,,-0.37,-0.61,0.23,1.2,-0.17,-0.39,0.22,-1.16,-1.12,-0.04
Dewayne Dedmon,dedmode01,MIA,Roll + Cut Big,"1,065",C,32,,-0.38,-1.38,1,1.4,0.16,-1.53,1.69,1.65,1.57,0.08
Derrick Jones Jr.,jonesde02,CHI,Stretch Big,899,PF,25,,-0.4,-0.89,0.49,1.1,-1.39,-1.81,0.42,1.35,2.25,-0.9
Matt Mooney,moonema01,NYK,Secondary Ball Handler,2,SG,27,,-0.4,-0.21,-0.18,0,-0.41,-0.21,-0.2,0,0,0
Tyler Hall,hallty01,NYK,Low Minute,2,SG,25,,-0.4,-0.22,-0.18,0,-0.41,-0.21,-0.2,0,0,0
Javin DeLaurier,delauja01,MIL,Low Minute,3,C,24,,-0.41,-0.15,-0.26,0,-0.4,-0.18,-0.22,0,0,0
