player,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Torrey Craig,IND/PHO,Athletic Finisher,"1,596",SF,31,,-2.18,-1.52,-0.65,0.2,-1.88,-1.52,-0.35,-0.56,-0.19,-0.37
Isaiah Joe,PHI,Movement Shooter,609,SG,22,,-2.2,-1.1,-1.1,0.1,-2.43,-1.18,-1.25,-0.7,-0.12,-0.58
Jarrett Culver,MEM,Secondary Ball Handler,338,SG,23,,-2.21,-1.23,-0.98,0,-2.13,-1.57,-0.56,1.11,0.95,0.16
Rui Hachimura,WAS,Stationary Shooter,943,PF,24,,-2.22,-0.87,-1.35,0.1,-1.11,-0.46,-0.64,0,0,0
Cory Joseph,DET,Primary Ball Handler,"1,600",PG,30,,-2.23,-1.86,-0.36,0.2,-2.51,-1.94,-0.57,-0.65,-0.42,-0.23
Elfrid Payton,PHO,Slasher,549,PG,28,,-2.23,-2.14,-0.1,0.1,-2.44,-2.11,-0.34,-0.51,0.12,-0.62
Kelan Martin,IND/BOS,Stationary Shooter,450,SF,26,,-2.26,-0.84,-1.42,0,-1.82,-0.94,-0.88,-1.51,0.65,-2.16
Didi Louzada,NOP/POR,Movement Shooter,129,SG-SF,22,,-2.27,-1.87,-0.4,0,-1.4,-1.18,-0.21,0.09,0.25,-0.16
Doug McDermott,SAS,Movement Shooter,"1,223",PF,30,,-2.3,-0.43,-1.87,0.1,-1.99,-0.72,-1.27,0.35,0.83,-0.48
Markieff Morris,MIA,Versatile Big,298,PF,32,,-2.31,-1.11,-1.2,0,-1.93,-0.89,-1.04,-0.62,-0.05,-0.57
Leandro Bolmaro,MIN,Secondary Ball Handler,241,SF,21,,-2.31,-1.8,-0.51,0,-2.68,-1.89,-0.8,0.93,0.68,0.24
Skylar Mays,ATL,Stationary Shooter,220,SG,24,,-2.33,-1.29,-1.04,0,-1.72,-1.21,-0.51,0.01,-0.11,0.11
Abdel Nader,PHO,Movement Shooter,145,SF,28,,-2.35,-2.27,-0.08,0,-2.01,-1.66,-0.34,-1.17,-1.39,0.22
Frank Jackson,DET,Movement Shooter,"1,164",PG,23,,-2.35,-0.79,-1.56,0,-2.61,-0.83,-1.77,-1.03,-1.27,0.25
Trendon Watford,POR,Roll + Cut Big,869,SF,21,,-2.35,-1.78,-0.57,0,-1.24,-1.26,0.02,-0.64,-0.29,-0.34
Brandon Williams,POR,Secondary Ball Handler,640,PG,22,,-2.37,-0.71,-1.67,0,-1.59,-0.57,-1.03,0,0,0
Rodney Hood,MIL/LAC,Stationary Shooter,709,SF-SG,29,,-2.38,-1.82,-0.56,0,-1.99,-1.54,-0.44,-1.79,-0.49,-1.3
Thanasis Antetokounmpo,MIL,Roll + Cut Big,473,SF,29,,-2.39,-1.86,-0.52,0,-1.56,-1.72,0.16,-1.87,-1.19,-0.68
Ignas Brazdeikis,ORL,Movement Shooter,536,SF,23,,-2.41,-1.13,-1.29,0,-2.04,-1.11,-0.93,-1.56,-0.91,-0.65
Cam Thomas,BRK,Secondary Ball Handler,"1,176",SG,20,,-2.42,-0.42,-1.99,0,-1.75,-0.67,-1.09,-0.81,0.12,-0.93
Tony Snell,POR/NOP,Stationary Shooter,822,SG,30,,-2.43,-2.17,-0.26,0,-2.89,-2.55,-0.34,-0.91,-1.15,0.24
Vit Krejci,OKC,Stationary Shooter,690,SG,21,,-2.44,-1.76,-0.68,0,-2.33,-2.34,0.01,-0.02,-0.05,0.04
Greg Brown III,POR,Stretch Big,640,SF,20,,-2.47,-2.29,-0.18,0,-1.72,-2.16,0.44,-1.04,-0.56,-0.49
James Bouknight,CHO,Secondary Ball Handler,304,SG,21,,-2.5,-0.52,-1.99,0,-2.44,-0.7,-1.74,-0.51,0.4,-0.91
Justin Robinson,MIL/SAC/DET,Secondary Ball Handler,304,PG,24,,-2.54,-1.74,-0.8,0,-1.33,-0.85,-0.48,-1.59,-1.18,-0.41
Austin Rivers,DEN,Stationary Shooter,"1,480",SG,29,,-2.56,-1.03,-1.53,-0.2,-2.2,-1.72,-0.49,-1.05,0.69,-1.74
Joe Harris,BRK,Movement Shooter,423,SF,30,,-2.57,-2.5,-0.06,-0.1,-1.88,-1.39,-0.48,-1.73,-1.87,0.14
Kira Lewis Jr.,NOP,Secondary Ball Handler,341,PG,21,,-2.65,-1.61,-1.04,-0.1,-1.92,-0.79,-1.13,-1.44,-1.2,-0.24
Alfonzo McKinnie,CHI,Athletic Finisher,206,SF,29,,-2.66,-1.65,-1.01,0,-2.02,-1.53,-0.48,-0.99,-0.53,-0.46
CJ Elleby,POR,Athletic Finisher,"1,174",SF,21,,-2.7,-1.96,-0.75,-0.2,-2.83,-2.26,-0.57,-0.71,-0.63,-0.08
Chris Chiozza,GSW,Secondary Ball Handler,372,PG,26,,-2.72,-2.05,-0.67,-0.1,-2.54,-1.76,-0.78,-0.56,-0.55,0.01
Ziaire Williams,MEM,Stationary Shooter,"1,346",SF,20,,-2.77,-1.33,-1.44,-0.3,-2.17,-1.4,-0.77,-2.11,-0.76,-1.36
Admiral Schofield,ORL,Stationary Shooter,469,SF,25,,-2.8,-2.43,-0.38,-0.1,-2.29,-2.16,-0.13,0,0,0
Aaron Wiggins,OKC,Athletic Finisher,"1,209",SG,23,,-2.94,-1.99,-0.94,-0.4,-2.79,-2.32,-0.48,0.39,0.35,0.04
Josh Christopher,HOU,Secondary Ball Handler,"1,334",SG,20,,-3.02,-0.77,-2.25,-0.5,-2.26,-1.1,-1.15,0.42,0.98,-0.57
Semi Ojeleye,MIL/LAC,Stretch Big,406,PF,27,,-3.04,-1.88,-1.16,-0.2,-1.74,-1.31,-0.43,-2.09,-0.98,-1.12
Joshua Primo,SAS,Stationary Shooter,965,SG,19,,-3.04,-2.17,-0.87,-0.4,-2.83,-2.16,-0.67,-0.04,0.21,-0.25
Keifer Sykes,IND,Secondary Ball Handler,566,PG,28,,-3.05,-1.77,-1.28,-0.2,-3.02,-1.71,-1.31,0,0,0
Elijah Hughes,UTA/POR,Stationary Shooter,434,SG-SF,24,,-3.23,-1.71,-1.52,-0.2,-1.7,-1.37,-0.33,-0.77,-0.25,-0.52
Jalen Green,HOU,Secondary Ball Handler,"2,138",SG,20,,-3.26,-1.22,-2.04,-1.2,-2.21,-0.18,-2.03,-2.99,-2.37,-0.62
Ben McLemore,POR,Off Screen Shooter,"1,285",SG,29,,-3.28,-0.75,-2.53,-0.7,-2.42,-0.22,-2.19,-0.64,-1.06,0.41
D.J. Augustin,HOU/LAL,Secondary Ball Handler,883,PG,34,,-3.41,-1.03,-2.39,-0.6,-2.34,-1.09,-1.26,-1.06,0.87,-1.94
Garrett Temple,NOP,Stationary Shooter,"1,098",SG,35,,-3.47,-2.68,-0.8,-0.8,-1.38,-1.65,0.27,-4.6,-2.39,-2.21
Keon Johnson,LAC/POR,Secondary Ball Handler,696,SG,20,,-3.7,-1.59,-2.11,-0.6,-2.26,-1.46,-0.8,0.6,0.55,0.05
Cam Reddish,ATL/NYK,Movement Shooter,"1,012",SF,22,,-3.83,-1.69,-2.14,-0.9,-1.13,-0.32,-0.82,-2.99,-1.05,-1.94
Avery Bradley,LAL,Stationary Shooter,"1,406",SG,31,,-4,-3.55,-0.44,-1.4,-2.55,-2.14,-0.41,-2.48,-2.2,-0.28
R.J. Hampton,ORL,Secondary Ball Handler,"1,402",SG,21,,-4.17,-3.36,-0.81,-1.6,-2.75,-2.4,-0.35,-2.33,-2.79,0.46
Tre Mann,OKC,Secondary Ball Handler,"1,367",PG,21,,-4.2,-2.26,-1.94,-1.6,-2.75,-1.93,-0.82,-1.27,-0.68,-0.59
Keljin Blevins,POR,Movement Shooter,349,SF,26,,-4.41,-2.19,-2.22,-0.4,-2.87,-1.61,-1.27,-0.53,-0.25,-0.28
Terrence Ross,ORL,Secondary Ball Handler,"1,448",SG,31,,-4.59,-1.76,-2.83,-2,-2.78,-1.6,-1.18,-4.03,-0.67,-3.35
