player,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Chris Duarte,IND,Secondary Ball Handler,"1,541",SG,24,,-1.05,-0.55,-0.5,1.3,-1.71,-0.53,-1.17,2.19,1.23,0.96
Paul Millsap,BRK/PHI,Stretch Big,376,PF,37,,-1.06,-0.89,-0.17,0.3,-0.64,-0.71,0.07,-0.42,-0.56,0.15
Patty Mills,BRK,Movement Shooter,"2,346",PG,33,,-1.06,0.46,-1.53,2,-1.47,-0.06,-1.42,0.49,1.41,-0.93
Santi Aldama,MEM,Stretch Big,360,PF,21,,-1.06,-0.11,-0.95,0.3,-1.67,-0.85,-0.82,1.68,1.2,0.48
Udonis Haslem,MIA,Roll + Cut Big,83,C,41,,-1.08,-1.03,-0.05,0.1,-0.78,-0.77,-0.01,0.2,0.14,0.07
Justin Holiday,IND/SAC,Movement Shooter,"2,057",SF-SG,33,,-1.08,-0.94,-0.14,1.7,-1.37,-0.6,-0.77,0.95,-0.63,1.58
Troy Brown Jr.,CHI,Athletic Finisher,"1,055",SF,22,,-1.08,-1.26,0.18,0.9,-1.53,-1.5,-0.03,-0.59,-1.12,0.53
Taurean Prince,MIN,Stationary Shooter,"1,177",PF,28,,-1.09,-0.76,-0.33,1,-1.01,-0.81,-0.2,-2.04,-1.07,-0.97
Daniel Theis,HOU/BOS,Stretch Big,977,C,30,,-1.09,-2.01,0.92,0.8,-0.8,-1.18,0.39,-1.93,-1.98,0.05
Udoka Azubuike,UTA,Roll + Cut Big,195,C,22,,-1.09,-1.49,0.4,0.2,-1.09,-1.46,0.37,0.25,0.03,0.22
Kevin Knox,NYK/ATL,Stationary Shooter,222,SF,22,,-1.09,-0.34,-0.76,0.2,-0.78,-0.4,-0.38,-0.37,0.15,-0.53
Vlatko Cancar,DEN,Stretch Big,176,PF,25,,-1.1,-1.21,0.11,0.1,-1.29,-1.09,-0.19,-0.52,-0.21,-0.31
Juwan Morgan,TOR/BOS,Stretch Big,31,PF,24,,-1.1,-0.6,-0.5,0,-0.97,-0.58,-0.4,0,0,0
Tyler Johnson,PHI/SAS,Stationary Shooter,91,PG,29,,-1.11,-0.63,-0.49,0.1,-1.1,-0.66,-0.44,0,0,0
Theo Pinson,DAL,Stationary Shooter,148,SF,26,,-1.11,-0.66,-0.45,0.1,-0.76,-0.54,-0.22,0,0,0
Chris Silva,MIN/MIA,Roll + Cut Big,91,PF,25,,-1.11,-1.01,-0.09,0.1,-0.74,-0.69,-0.05,0,0,0
Alize Johnson,CHI/WAS/NOP,Roll + Cut Big,167,PF,25,,-1.13,-0.56,-0.57,0.1,-0.88,-0.69,-0.19,-1.44,0.07,-1.51
Carsen Edwards,DET,Secondary Ball Handler,79,SG,24,,-1.13,-0.58,-0.55,0.1,-0.69,-0.44,-0.24,0,0,0
Malik Fitts,UTA/BOS,Movement Shooter,63,PF,24,,-1.13,-0.34,-0.79,0.1,-0.74,-0.18,-0.56,-0.41,-0.25,-0.16
Josh Okogie,MIN,Athletic Finisher,516,SG,23,,-1.14,-2.4,1.26,0.4,-2.17,-2.19,0.02,1.73,0.26,1.47
Arnoldas Kulboka,CHO,Low Minute,5,SF,24,,-1.14,-0.5,-0.64,0,-1,-0.45,-0.55,-0.24,-0.04,-0.2
Saddiq Bey,DET,Movement Shooter,"2,704",SF,23,,-1.14,0.26,-1.4,2.2,-1.64,-0.21,-1.43,-0.12,-0.11,0.01
Paris Bass,PHO,Stretch Big,7,SF,26,,-1.15,-0.41,-0.74,0,-1.18,-0.41,-0.77,0,0,0
Talen Horton-Tucker,LAL,Secondary Ball Handler,"1,511",SG,21,,-1.15,-1.06,-0.09,1.2,-1.65,-1.3,-0.35,0.53,-0.34,0.87
Shaq Buchanan,MEM,Stretch Big,10,PG,25,,-1.15,-0.44,-0.71,0,-1.26,-0.54,-0.71,0,0,0
Aaron Henry,PHI,Low Minute,17,SF,22,,-1.15,-0.54,-0.61,0,-1.09,-0.49,-0.61,0.01,0.01,0.02
Jock Landale,SAS,Stretch Big,589,C,26,,-1.17,-0.13,-1.04,0.5,-1.46,-0.29,-1.17,0.34,0.06,0.28
Frank Kaminsky,PHO,Roll + Cut Big,181,C,29,,-1.18,-1.28,0.1,0.1,-1.07,-0.71,-0.36,-0.27,-0.9,0.63
Solomon Hill,ATL,Athletic Finisher,139,PF,31,,-1.19,-1.51,0.32,0.1,-1.12,-1.15,0.03,-0.14,-0.76,0.62
Quentin Grimes,NYK,Stationary Shooter,786,SG,21,,-1.19,-1.21,0.02,0.6,-1.2,-0.87,-0.33,0.24,0.32,-0.09
Jahmi'us Ramsey,SAC,Secondary Ball Handler,134,SG,20,,-1.19,-0.54,-0.65,0.1,-1.21,-0.73,-0.48,0.13,0.7,-0.57
Luka Garza,DET,Stretch Big,389,C,23,,-1.19,-0.04,-1.15,0.3,-1.36,-0.06,-1.3,-0.45,-0.58,0.13
M.J. Walker,PHO,Movement Shooter,8,SG,24,,-1.19,-0.41,-0.78,0,-1.19,-0.43,-0.76,0,0,0
Malcolm Hill,ATL/CHI,Stationary Shooter,212,SF-SG,26,,-1.2,-0.93,-0.28,0.2,-1.03,-0.77,-0.26,0,0,0
Ed Davis,CLE,Roll + Cut Big,201,C,32,,-1.21,-2.3,1.09,0.2,-1.2,-2.24,1.04,-0.69,-0.57,-0.11
Tyrell Terry,MEM,Secondary Ball Handler,3,PG,21,,-1.21,-0.48,-0.73,0,-1.24,-0.53,-0.71,0,0,0
Justin Jackson,BOS/PHO,Stationary Shooter,36,SF,27,,-1.22,-0.62,-0.6,0,-1.26,-0.48,-0.78,0,0,0
Daishen Nix,HOU,Secondary Ball Handler,261,SG,20,,-1.22,-0.96,-0.26,0.2,-1.2,-1.01,-0.2,-0.08,-0.07,-0.02
Trevor Ariza,LAL,Stationary Shooter,462,SF,36,,-1.23,-1.14,-0.09,0.3,-1.13,-1.43,0.29,0,0,0
Rodney McGruder,DET,Stationary Shooter,754,SG,30,,-1.23,-0.91,-0.32,0.6,-2.11,-1.28,-0.83,0.71,0.05,0.67
Hamidou Diallo,DET,Athletic Finisher,"1,269",SG,23,,-1.23,-1.81,0.59,0.9,-0.99,-1.22,0.23,0.3,-0.38,0.67
Jaden McDaniels,MIN,Athletic Finisher,"1,803",PF,21,,-1.23,-2.06,0.83,1.3,-1.74,-1.79,0.04,0.15,-1.1,1.25
Sam Hauser,BOS,Movement Shooter,158,SF,24,,-1.23,-0.49,-0.74,0.1,-1.23,-0.43,-0.79,-0.12,-0.19,0.06
Isaac Bonga,TOR,Stretch Big,69,SF,22,,-1.24,-0.98,-0.26,0.1,-1.13,-0.91,-0.22,-0.13,-0.28,0.15
DaQuan Jeffries,MEM,Stretch Big,9,SG,24,,-1.24,-0.52,-0.72,0,-1.26,-0.56,-0.7,0,0,0
Payton Pritchard,BOS,Secondary Ball Handler,"1,001",SG,24,,-1.24,-0.05,-1.2,0.7,-0.31,0.78,-1.09,-1.6,-1.22,-0.38
Zavier Simpson,OKC,Shot Creator,174,PG,25,,-1.24,-1.21,-0.03,0.1,-0.5,-1.05,0.55,0,0,0
Sam Merrill,MEM,Movement Shooter,58,SG,25,,-1.25,-0.5,-0.75,0,-1.38,-0.52,-0.85,0.3,0.06,0.23
Khem Birch,TOR,Roll + Cut Big,991,C,29,,-1.26,-0.84,-0.42,0.7,-1.41,-1.55,0.14,0.79,0.84,-0.06
Corey Kispert,WAS,Movement Shooter,"1,801",SF,23,,-1.26,0.28,-1.55,1.3,-2.16,-1.06,-1.1,-0.21,0.62,-0.84
Alex Len,SAC,Roll + Cut Big,620,C,28,,-1.27,-1.99,0.72,0.4,-1.42,-1.94,0.52,-0.39,-0.42,0.03
